,YearSchluessel,Year,Stadt-/Landkreis,Beschäftigtenquote in %,LAND_NAME,LAND_ABK
5570,200905570,2009,Kreis Warendorf,52.6,Nordrhein-Westfalen,NW
5711,201705711,2017,Bielefeld,55.5,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,51.7,Nordrhein-Westfalen,NW
5711,200905711,2009,Bielefeld,49.800000000000004,Nordrhein-Westfalen,NW
5754,201705754,2017,Kreis Gütersloh,63.7,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,58.900000000000006,Nordrhein-Westfalen,NW
5754,200905754,2009,Kreis Gütersloh,55.5,Nordrhein-Westfalen,NW
5758,201705758,2017,Kreis Herford,61.300000000000004,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,57.2,Nordrhein-Westfalen,NW
5758,200905758,2009,Kreis Herford,54.6,Nordrhein-Westfalen,NW
5762,201705762,2017,Kreis Höxter,58.900000000000006,Nordrhein-Westfalen,NW
5762,201305762,2013,Kreis Höxter,54.5,Nordrhein-Westfalen,NW
5762,200905762,2009,Kreis Höxter,50.1,Nordrhein-Westfalen,NW
5766,201705766,2017,Kreis Lippe,59.400000000000006,Nordrhein-Westfalen,NW
5766,201305766,2013,Kreis Lippe,55.5,Nordrhein-Westfalen,NW
5766,200905766,2009,Kreis Lippe,51.6,Nordrhein-Westfalen,NW
5770,201705770,2017,Kreis Minden-Lübbecke,61.2,Nordrhein-Westfalen,NW
5770,201305770,2013,Kreis Minden-Lübbecke,57.5,Nordrhein-Westfalen,NW
5770,200905770,2009,Kreis Minden-Lübbecke,53.400000000000006,Nordrhein-Westfalen,NW
5774,201705774,2017,Kreis Paderborn,57.5,Nordrhein-Westfalen,NW
5774,201305774,2013,Kreis Paderborn,54.400000000000006,Nordrhein-Westfalen,NW
5774,200905774,2009,Kreis Paderborn,50.300000000000004,Nordrhein-Westfalen,NW
5911,201705911,2017,Bochum,52.400000000000006,Nordrhein-Westfalen,NW
5911,201305911,2013,Bochum,49.1,Nordrhein-Westfalen,NW
5911,200905911,2009,Bochum,45.0,Nordrhein-Westfalen,NW
5913,201705913,2017,Dortmund,53.0,Nordrhein-Westfalen,NW
5913,201305913,2013,Dortmund,48.6,Nordrhein-Westfalen,NW
5913,200905913,2009,Dortmund,44.900000000000006,Nordrhein-Westfalen,NW
5914,201705914,2017,Hagen,55.7,Nordrhein-Westfalen,NW
5914,201305914,2013,Hagen,52.2,Nordrhein-Westfalen,NW
5914,200905914,2009,Hagen,49.0,Nordrhein-Westfalen,NW
5915,201705915,2017,Hamm,53.2,Nordrhein-Westfalen,NW
5915,201305915,2013,Hamm,49.1,Nordrhein-Westfalen,NW
5915,200905915,2009,Hamm,44.800000000000004,Nordrhein-Westfalen,NW
5916,201705916,2017,Herne,49.900000000000006,Nordrhein-Westfalen,NW
5916,201305916,2013,Herne,47.0,Nordrhein-Westfalen,NW
5916,200905916,2009,Herne,43.300000000000004,Nordrhein-Westfalen,NW
5954,201705954,2017,Ennepe-Ruhr-Kreis,57.400000000000006,Nordrhein-Westfalen,NW
5954,201305954,2013,Ennepe-Ruhr-Kreis,54.300000000000004,Nordrhein-Westfalen,NW
5954,200905954,2009,Ennepe-Ruhr-Kreis,50.1,Nordrhein-Westfalen,NW
5958,201705958,2017,Hochsauerlandkreis,61.300000000000004,Nordrhein-Westfalen,NW
5958,201305958,2013,Hochsauerlandkreis,57.0,Nordrhein-Westfalen,NW
5958,200905958,2009,Hochsauerlandkreis,52.6,Nordrhein-Westfalen,NW
5962,201705962,2017,Märkischer Kreis,59.900000000000006,Nordrhein-Westfalen,NW
5962,201305962,2013,Märkischer Kreis,56.0,Nordrhein-Westfalen,NW
5962,200905962,2009,Märkischer Kreis,51.2,Nordrhein-Westfalen,NW
5966,201705966,2017,Kreis Olpe,62.800000000000004,Nordrhein-Westfalen,NW
5966,201305966,2013,Kreis Olpe,58.300000000000004,Nordrhein-Westfalen,NW
5966,200905966,2009,Kreis Olpe,53.0,Nordrhein-Westfalen,NW
5970,201705970,2017,Kreis Siegen-Wittgenstein,59.900000000000006,Nordrhein-Westfalen,NW
5970,201305970,2013,Kreis Siegen-Wittgenstein,56.400000000000006,Nordrhein-Westfalen,NW
5970,200905970,2009,Kreis Siegen-Wittgenstein,51.7,Nordrhein-Westfalen,NW
5974,201705974,2017,Kreis Soest,59.300000000000004,Nordrhein-Westfalen,NW
