,YearSchluessel,Year,Stadt-/Landkreis,Anteil männl. Schulabg. mit allgem. Hochschulreife in %,Anteil männl. Schulabgänger ohne Hauptschulabschl. In %,Anteil männl. Schulabgänger mit Hauptschulabschl. In %,LAND_NAME,LAND_ABK
5120,200905120,2009,Remscheid,41.6,59.0,55.800000000000004,Nordrhein-Westfalen,NW
5120,201305120,2013,Remscheid,44.2,64.60000000000001,52.2,Nordrhein-Westfalen,NW
5120,201705120,2017,Remscheid,47.1,55.800000000000004,58.1,Nordrhein-Westfalen,NW
5122,200905122,2009,Solingen,46.300000000000004,64.10000000000001,52.800000000000004,Nordrhein-Westfalen,NW
5122,201305122,2013,Solingen,43.2,67.0,60.900000000000006,Nordrhein-Westfalen,NW
5122,201705122,2017,Solingen,41.7,50.5,56.300000000000004,Nordrhein-Westfalen,NW
5124,200905124,2009,Wuppertal,43.900000000000006,57.800000000000004,56.0,Nordrhein-Westfalen,NW
5124,201305124,2013,Wuppertal,43.7,59.6,58.0,Nordrhein-Westfalen,NW
5124,201705124,2017,Wuppertal,44.5,59.300000000000004,54.800000000000004,Nordrhein-Westfalen,NW
5154,200905154,2009,Kreis Kleve,44.400000000000006,63.2,58.900000000000006,Nordrhein-Westfalen,NW
5154,201305154,2013,Kreis Kleve,45.6,61.1,56.2,Nordrhein-Westfalen,NW
5154,201705154,2017,Kreis Kleve,46.7,64.5,62.1,Nordrhein-Westfalen,NW
5158,200905158,2009,Kreis Mettmann,46.5,58.900000000000006,55.900000000000006,Nordrhein-Westfalen,NW
5158,201305158,2013,Kreis Mettmann,46.5,62.1,57.1,Nordrhein-Westfalen,NW
5158,201705158,2017,Kreis Mettmann,43.300000000000004,63.900000000000006,58.900000000000006,Nordrhein-Westfalen,NW
5162,200905162,2009,Rhein-Kreis Neuss,45.2,61.400000000000006,58.900000000000006,Nordrhein-Westfalen,NW
5162,201305162,2013,Rhein-Kreis Neuss,46.1,58.6,56.0,Nordrhein-Westfalen,NW
5162,201705162,2017,Rhein-Kreis Neuss,44.2,53.900000000000006,53.1,Nordrhein-Westfalen,NW
5166,200905166,2009,Kreis Viersen,44.6,58.5,56.800000000000004,Nordrhein-Westfalen,NW
5166,201305166,2013,Kreis Viersen,45.800000000000004,62.0,55.800000000000004,Nordrhein-Westfalen,NW
5166,201705166,2017,Kreis Viersen,49.300000000000004,59.6,54.7,Nordrhein-Westfalen,NW
5170,200905170,2009,Kreis Wesel,45.1,61.0,60.0,Nordrhein-Westfalen,NW
5170,201305170,2013,Kreis Wesel,45.0,59.400000000000006,57.6,Nordrhein-Westfalen,NW
5170,201705170,2017,Kreis Wesel,44.900000000000006,58.1,59.0,Nordrhein-Westfalen,NW
5314,200905314,2009,Bonn,45.6,51.5,57.1,Nordrhein-Westfalen,NW
5314,201305314,2013,Bonn,46.400000000000006,52.900000000000006,56.400000000000006,Nordrhein-Westfalen,NW
5314,201705314,2017,Bonn,45.6,57.400000000000006,58.1,Nordrhein-Westfalen,NW
5315,200905315,2009,Köln,43.5,58.2,54.6,Nordrhein-Westfalen,NW
5315,201305315,2013,Köln,44.2,54.2,54.5,Nordrhein-Westfalen,NW
5315,201705315,2017,Köln,45.0,55.900000000000006,59.5,Nordrhein-Westfalen,NW
5316,200905316,2009,Leverkusen,44.900000000000006,52.2,50.800000000000004,Nordrhein-Westfalen,NW
5316,201305316,2013,Leverkusen,46.6,65.2,60.900000000000006,Nordrhein-Westfalen,NW
5316,201705316,2017,Leverkusen,44.1,63.5,59.0,Nordrhein-Westfalen,NW
5334,200905334,2009,Aachen,48.5,61.900000000000006,55.6,Nordrhein-Westfalen,NW
5334,201305334,2013,Aachen,44.900000000000006,57.900000000000006,57.400000000000006,Nordrhein-Westfalen,NW
5334,201705334,2017,Aachen,47.900000000000006,58.2,61.6,Nordrhein-Westfalen,NW
5354,200905354,2009,Kreis Aachen,,,,Nordrhein-Westfalen,NW
5354,201305354,2013,Kreis Aachen,,,,Nordrhein-Westfalen,NW
5354,201705354,2017,Kreis Aachen,,,,Nordrhein-Westfalen,NW
5358,200905358,2009,Kreis Düren,41.6,57.400000000000006,56.6,Nordrhein-Westfalen,NW
5358,201305358,2013,Kreis Düren,45.900000000000006,57.5,57.0,Nordrhein-Westfalen,NW
5358,201705358,2017,Kreis Düren,43.6,56.6,64.7,Nordrhein-Westfalen,NW
5362,200905362,2009,Rhein-Erft-Kreis,48.1,59.2,56.900000000000006,Nordrhein-Westfalen,NW
5362,201305362,2013,Rhein-Erft-Kreis,44.5,64.2,59.0,Nordrhein-Westfalen,NW
5362,201705362,2017,Rhein-Erft-Kreis,47.1,59.7,59.7,Nordrhein-Westfalen,NW
5366,200905366,2009,Kreis Euskirchen,43.1,57.900000000000006,62.2,Nordrhein-Westfalen,NW
5366,201305366,2013,Kreis Euskirchen,45.800000000000004,61.800000000000004,59.1,Nordrhein-Westfalen,NW
5366,201705366,2017,Kreis Euskirchen,44.800000000000004,68.8,59.800000000000004,Nordrhein-Westfalen,NW
5370,200905370,2009,Kreis Heinsberg,46.2,67.2,57.1,Nordrhein-Westfalen,NW
5370,201305370,2013,Kreis Heinsberg,44.5,57.300000000000004,58.900000000000006,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,47.300000000000004,58.900000000000006,53.900000000000006,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,42.2,61.2,55.900000000000006,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,44.5,53.900000000000006,56.2,Nordrhein-Westfalen,NW
5374,201705374,2017,Oberbergischer Kreis,43.1,58.2,60.2,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,46.5,63.800000000000004,59.5,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,44.5,63.400000000000006,57.5,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,47.2,64.3,58.7,Nordrhein-Westfalen,NW
