,YearSchluessel,Year,Stadt-/Landkreis,Unternehmensinsolvenzen je 10.000 st.-pfl. Untern.,LAND_NAME,LAND_ABK
5370,201305370,2013,Kreis Heinsberg,132.6,Nordrhein-Westfalen,NW
5370,201705370,2017,Kreis Heinsberg,109.9,Nordrhein-Westfalen,NW
5374,200905374,2009,Oberbergischer Kreis,157.70000000000002,Nordrhein-Westfalen,NW
5374,201305374,2013,Oberbergischer Kreis,138.5,Nordrhein-Westfalen,NW
5374,201705374,2017,Oberbergischer Kreis,69.3,Nordrhein-Westfalen,NW
5378,200905378,2009,Rheinisch-Bergischer Kreis,137.0,Nordrhein-Westfalen,NW
5378,201305378,2013,Rheinisch-Bergischer Kreis,98.60000000000001,Nordrhein-Westfalen,NW
5378,201705378,2017,Rheinisch-Bergischer Kreis,51.300000000000004,Nordrhein-Westfalen,NW
5382,200905382,2009,Rhein-Sieg-Kreis,153.0,Nordrhein-Westfalen,NW
5382,201305382,2013,Rhein-Sieg-Kreis,116.60000000000001,Nordrhein-Westfalen,NW
5382,201705382,2017,Rhein-Sieg-Kreis,74.2,Nordrhein-Westfalen,NW
5512,200905512,2009,Bottrop,170.5,Nordrhein-Westfalen,NW
5512,201305512,2013,Bottrop,191.5,Nordrhein-Westfalen,NW
5512,201705512,2017,Bottrop,96.5,Nordrhein-Westfalen,NW
5513,200905513,2009,Gelsenkirchen,295.2,Nordrhein-Westfalen,NW
5513,201305513,2013,Gelsenkirchen,211.0,Nordrhein-Westfalen,NW
5513,201705513,2017,Gelsenkirchen,186.8,Nordrhein-Westfalen,NW
5515,200905515,2009,Münster,119.60000000000001,Nordrhein-Westfalen,NW
5515,201305515,2013,Münster,91.0,Nordrhein-Westfalen,NW
5515,201705515,2017,Münster,71.0,Nordrhein-Westfalen,NW
5554,200905554,2009,Kreis Borken,127.10000000000001,Nordrhein-Westfalen,NW
5554,201305554,2013,Kreis Borken,102.4,Nordrhein-Westfalen,NW
5554,201705554,2017,Kreis Borken,88.0,Nordrhein-Westfalen,NW
5558,200905558,2009,Kreis Coesfeld,119.60000000000001,Nordrhein-Westfalen,NW
5558,201305558,2013,Kreis Coesfeld,98.4,Nordrhein-Westfalen,NW
5558,201705558,2017,Kreis Coesfeld,63.300000000000004,Nordrhein-Westfalen,NW
5562,200905562,2009,Kreis Recklinghausen,158.60000000000002,Nordrhein-Westfalen,NW
5562,201305562,2013,Kreis Recklinghausen,148.8,Nordrhein-Westfalen,NW
5562,201705562,2017,Kreis Recklinghausen,119.9,Nordrhein-Westfalen,NW
5566,200905566,2009,Kreis Steinfurt,136.6,Nordrhein-Westfalen,NW
5566,201305566,2013,Kreis Steinfurt,112.7,Nordrhein-Westfalen,NW
5566,201705566,2017,Kreis Steinfurt,67.3,Nordrhein-Westfalen,NW
5570,200905570,2009,Kreis Warendorf,140.8,Nordrhein-Westfalen,NW
5570,201305570,2013,Kreis Warendorf,107.30000000000001,Nordrhein-Westfalen,NW
5570,201705570,2017,Kreis Warendorf,80.2,Nordrhein-Westfalen,NW
5711,200905711,2009,Bielefeld,209.20000000000002,Nordrhein-Westfalen,NW
5711,201305711,2013,Bielefeld,138.4,Nordrhein-Westfalen,NW
5711,201705711,2017,Bielefeld,110.80000000000001,Nordrhein-Westfalen,NW
5754,200905754,2009,Kreis Gütersloh,141.4,Nordrhein-Westfalen,NW
5754,201305754,2013,Kreis Gütersloh,108.2,Nordrhein-Westfalen,NW
5754,201705754,2017,Kreis Gütersloh,49.400000000000006,Nordrhein-Westfalen,NW
5758,200905758,2009,Kreis Herford,162.3,Nordrhein-Westfalen,NW
5758,201305758,2013,Kreis Herford,143.1,Nordrhein-Westfalen,NW
5758,201705758,2017,Kreis Herford,95.10000000000001,Nordrhein-Westfalen,NW
5762,200905762,2009,Kreis Höxter,108.5,Nordrhein-Westfalen,NW
5762,201305762,2013,Kreis Höxter,115.0,Nordrhein-Westfalen,NW
5762,201705762,2017,Kreis Höxter,54.800000000000004,Nordrhein-Westfalen,NW
5766,200905766,2009,Kreis Lippe,169.4,Nordrhein-Westfalen,NW
5766,201305766,2013,Kreis Lippe,151.6,Nordrhein-Westfalen,NW
5766,201705766,2017,Kreis Lippe,81.7,Nordrhein-Westfalen,NW
5770,200905770,2009,Kreis Minden-Lübbecke,215.5,Nordrhein-Westfalen,NW
5770,201305770,2013,Kreis Minden-Lübbecke,97.80000000000001,Nordrhein-Westfalen,NW
5770,201705770,2017,Kreis Minden-Lübbecke,61.0,Nordrhein-Westfalen,NW
5774,200905774,2009,Kreis Paderborn,166.0,Nordrhein-Westfalen,NW
