,YearSchluessel,Year,Stadt-/Landkreis,Gewerbeanmeldungen je 10.000 Einwohner,LAND_NAME,LAND_ABK
5915,201305915,2013,Hamm,83.7,Nordrhein-Westfalen,NW
5915,201705915,2017,Hamm,66.5,Nordrhein-Westfalen,NW
5916,200905916,2009,Herne,70.60000000000001,Nordrhein-Westfalen,NW
5916,201305916,2013,Herne,73.9,Nordrhein-Westfalen,NW
5916,201705916,2017,Herne,74.10000000000001,Nordrhein-Westfalen,NW
5954,200905954,2009,Ennepe-Ruhr-Kreis,83.10000000000001,Nordrhein-Westfalen,NW
5954,201305954,2013,Ennepe-Ruhr-Kreis,75.7,Nordrhein-Westfalen,NW
5954,201705954,2017,Ennepe-Ruhr-Kreis,68.0,Nordrhein-Westfalen,NW
5958,200905958,2009,Hochsauerlandkreis,92.30000000000001,Nordrhein-Westfalen,NW
5958,201305958,2013,Hochsauerlandkreis,61.7,Nordrhein-Westfalen,NW
5958,201705958,2017,Hochsauerlandkreis,57.6,Nordrhein-Westfalen,NW
5962,200905962,2009,Märkischer Kreis,80.30000000000001,Nordrhein-Westfalen,NW
5962,201305962,2013,Märkischer Kreis,69.5,Nordrhein-Westfalen,NW
5962,201705962,2017,Märkischer Kreis,58.300000000000004,Nordrhein-Westfalen,NW
5966,200905966,2009,Kreis Olpe,83.80000000000001,Nordrhein-Westfalen,NW
5966,201305966,2013,Kreis Olpe,62.800000000000004,Nordrhein-Westfalen,NW
5966,201705966,2017,Kreis Olpe,62.400000000000006,Nordrhein-Westfalen,NW
5970,200905970,2009,Kreis Siegen-Wittgenstein,71.5,Nordrhein-Westfalen,NW
5970,201305970,2013,Kreis Siegen-Wittgenstein,76.10000000000001,Nordrhein-Westfalen,NW
5970,201705970,2017,Kreis Siegen-Wittgenstein,68.0,Nordrhein-Westfalen,NW
5974,200905974,2009,Kreis Soest,92.5,Nordrhein-Westfalen,NW
5974,201305974,2013,Kreis Soest,70.4,Nordrhein-Westfalen,NW
5974,201705974,2017,Kreis Soest,61.300000000000004,Nordrhein-Westfalen,NW
