,YearSchluessel,Year,Stadt-/Landkreis,Wanderungssaldo je 10.000 Einwohner,LAND_NAME,LAND_ABK
3357,200503357,2005,Landkreis Rotenburg (Wümme),3.2,Niedersachsen,NI
3357,200903357,2009,Landkreis Rotenburg (Wümme),-17.900000000000002,Niedersachsen,NI
3357,201303357,2013,Landkreis Rotenburg (Wümme),2.7,Niedersachsen,NI
3357,201703357,2017,Landkreis Rotenburg (Wümme),28.6,Niedersachsen,NI
3358,199503358,1995,Landkreis Heidekreis,148.8,Niedersachsen,NI
3358,200003358,2000,Landkreis Heidekreis,76.7,Niedersachsen,NI
3358,200503358,2005,Landkreis Heidekreis,13.3,Niedersachsen,NI
3358,200903358,2009,Landkreis Heidekreis,-19.400000000000002,Niedersachsen,NI
3358,201303358,2013,Landkreis Heidekreis,74.3,Niedersachsen,NI
3358,201703358,2017,Landkreis Heidekreis,-1.0,Niedersachsen,NI
3359,199503359,1995,Landkreis Stade,172.4,Niedersachsen,NI
3359,200003359,2000,Landkreis Stade,32.4,Niedersachsen,NI
3359,200503359,2005,Landkreis Stade,45.0,Niedersachsen,NI
3359,200903359,2009,Landkreis Stade,17.3,Niedersachsen,NI
3359,201303359,2013,Landkreis Stade,54.800000000000004,Niedersachsen,NI
3359,201703359,2017,Landkreis Stade,24.6,Niedersachsen,NI
3360,199503360,1995,Landkreis Uelzen,78.4,Niedersachsen,NI
3360,200003360,2000,Landkreis Uelzen,43.0,Niedersachsen,NI
3360,200503360,2005,Landkreis Uelzen,20.8,Niedersachsen,NI
3360,200903360,2009,Landkreis Uelzen,12.0,Niedersachsen,NI
3360,201303360,2013,Landkreis Uelzen,33.5,Niedersachsen,NI
3360,201703360,2017,Landkreis Uelzen,44.2,Niedersachsen,NI
3361,199503361,1995,Landkreis Verden,133.5,Niedersachsen,NI
3361,200003361,2000,Landkreis Verden,40.400000000000006,Niedersachsen,NI
3361,200503361,2005,Landkreis Verden,-0.9,Niedersachsen,NI
3361,200903361,2009,Landkreis Verden,4.0,Niedersachsen,NI
